dataset_type,scenario,scenario_description,replicate,phase,time_min,phase_time_min,probe_concentration_uM,probe_concentration_M,flow_rate_mL_min,assumed_flow_cell_volume_mL,assumed_path_length_cm,assumed_cross_section_area_cm2,residence_time_min,transport_rate_min_inv,kon_M_inv_min_inv,koff_min_inv,kobs_assoc_min_inv,KD_uM,KA_M_inv,damkohler_assoc,damkohler_dissociation,damkohler_regime,baseline_RFU,bulk_flow_component_clean_RFU,binding_component_clean_RFU,fluorescence_clean_RFU,fluorescence_noisy_RFU,normalized_fluorescence_noisy_0_to_1,notes
SYNTHETIC_SIMULATED_TRAINING_DATA_NOT_EXPERIMENTAL,bulk_flow_artifact_low_binding,Mostly wash-in/wash-out bulk fluorescence; weak true binding.,1,dissociation_buffer_wash,170,40,0.0,0.0,0.005,0.1,2.0,0.05,20.0,0.049999999999999996,54.965631381270825,0.09704630625673367,0.10803943253298784,1765.5815792157273,566.3856101422404,2.160788650659757,1.9409261251346734,Da>1: interaction/retention dominates over residence time,139.761902316193,81.01560033764086,1.5927731697570633,222.3702758235909,241.08821329354734,0.1495837879235185,Dissociation model: bulk flow component washes out fast; bound component decays by koff.
SYNTHETIC_SIMULATED_TRAINING_DATA_NOT_EXPERIMENTAL,bulk_flow_artifact_low_binding,Mostly wash-in/wash-out bulk fluorescence; weak true binding.,1,dissociation_buffer_wash,180,50,0.0,0.0,0.005,0.1,2.0,0.05,20.0,0.049999999999999996,54.965631381270825,0.09704630625673367,0.10803943253298784,1765.5815792157273,566.3856101422404,2.160788650659757,1.9409261251346734,Da>1: interaction/retention dominates over residence time,139.761902316193,49.13844551980434,0.6035137628538443,189.5038615988512,209.59895716422866,0.10309751831314977,Dissociation model: bulk flow component washes out fast; bound component decays by koff.
SYNTHETIC_SIMULATED_TRAINING_DATA_NOT_EXPERIMENTAL,bulk_flow_artifact_low_binding,Mostly wash-in/wash-out bulk fluorescence; weak true binding.,1,dissociation_buffer_wash,190,60,0.0,0.0,0.005,0.1,2.0,0.05,20.0,0.049999999999999996,54.965631381270825,0.09704630625673367,0.10803943253298784,1765.5815792157273,566.3856101422404,2.160788650659757,1.9409261251346734,Da>1: interaction/retention dominates over residence time,139.761902316193,29.803973778380236,0.22867591498264628,169.79455200955587,178.31435086121377,0.05691336466773757,Dissociation model: bulk flow component washes out fast; bound component decays by koff.
SYNTHETIC_SIMULATED_TRAINING_DATA_NOT_EXPERIMENTAL,bulk_flow_artifact_low_binding,Mostly wash-in/wash-out bulk fluorescence; weak true binding.,1,dissociation_buffer_wash,200,70,0.0,0.0,0.005,0.1,2.0,0.05,20.0,0.049999999999999996,54.965631381270825,0.09704630625673367,0.10803943253298784,1765.5815792157273,566.3856101422404,2.160788650659757,1.9409261251346734,Da>1: interaction/retention dominates over residence time,139.761902316193,18.077023877858995,0.08664702830615384,157.92557322235814,145.0486139077217,0.0078045508406673885,Dissociation model: bulk flow component washes out fast; bound component decays by koff.
SYNTHETIC_SIMULATED_TRAINING_DATA_NOT_EXPERIMENTAL,bulk_flow_artifact_low_binding,Mostly wash-in/wash-out bulk fluorescence; weak true binding.,1,dissociation_buffer_wash,210,80,0.0,0.0,0.005,0.1,2.0,0.05,20.0,0.049999999999999996,54.965631381270825,0.09704630625673367,0.10803943253298784,1765.5815792157273,566.3856101422404,2.160788650659757,1.9409261251346734,Da>1: interaction/retention dominates over residence time,139.761902316193,10.964269218278842,0.03283121230697675,150.7590027467788,168.83159499316298,0.042914369451045764,Dissociation model: bulk flow component washes out fast; bound component decays by koff.
SYNTHETIC_SIMULATED_TRAINING_DATA_NOT_EXPERIMENTAL,bulk_flow_artifact_low_binding,Mostly wash-in/wash-out bulk fluorescence; weak true binding.,1,dissociation_buffer_wash,220,90,0.0,0.0,0.005,0.1,2.0,0.05,20.0,0.049999999999999996,54.965631381270825,0.09704630625673367,0.10803943253298784,1765.5815792157273,566.3856101422404,2.160788650659757,1.9409261251346734,Da>1: interaction/retention dominates over residence time,139.761902316193,6.650165442229582,0.012439993876503528,146.4245077522991,138.93297397877004,-0.0012237121773492896,Dissociation model: bulk flow component washes out fast; bound component decays by koff.
SYNTHETIC_SIMULATED_TRAINING_DATA_NOT_EXPERIMENTAL,bulk_flow_artifact_low_binding,Mostly wash-in/wash-out bulk fluorescence; weak true binding.,1,dissociation_buffer_wash,230,100,0.0,0.0,0.005,0.1,2.0,0.05,20.0,0.049999999999999996,54.965631381270825,0.09704630625673367,0.10803943253298784,1765.5815792157273,566.3856101422404,2.160788650659757,1.9409261251346734,Da>1: interaction/retention dominates over residence time,139.761902316193,4.033529232873665,0.0047136074720749675,143.80014515653872,157.69912961634435,0.02647997719961841,Dissociation model: bulk flow component washes out fast; bound component decays by koff.
SYNTHETIC_SIMULATED_TRAINING_DATA_NOT_EXPERIMENTAL,bulk_flow_artifact_low_binding,Mostly wash-in/wash-out bulk fluorescence; weak true binding.,1,dissociation_buffer_wash,240,110,0.0,0.0,0.005,0.1,2.0,0.05,20.0,0.049999999999999996,54.965631381270825,0.09704630625673367,0.10803943253298784,1765.5815792157273,566.3856101422404,2.160788650659757,1.9409261251346734,Da>1: interaction/retention dominates over residence time,139.761902316193,2.4464591465850587,0.0017860214097666215,142.21014748418781,127.64469938166674,-0.017888119053199307,Dissociation model: bulk flow component washes out fast; bound component decays by koff.
SYNTHETIC_SIMULATED_TRAINING_DATA_NOT_EXPERIMENTAL,bulk_flow_artifact_low_binding,Mostly wash-in/wash-out bulk fluorescence; weak true binding.,1,dissociation_buffer_wash,250,120,0.0,0.0,0.005,0.1,2.0,0.05,20.0,0.049999999999999996,54.965631381270825,0.09704630625673367,0.10803943253298784,1765.5815792157273,566.3856101422404,2.160788650659757,1.9409261251346734,Da>1: interaction/retention dominates over residence time,139.761902316193,1.4838524801382418,0.0006767369780030798,141.24643153330922,141.55014536666005,0.002639908298611136,Dissociation model: bulk flow component washes out fast; bound component decays by koff.
SYNTHETIC_SIMULATED_TRAINING_DATA_NOT_EXPERIMENTAL,bulk_flow_artifact_low_binding,Mostly wash-in/wash-out bulk fluorescence; weak true binding.,1,dissociation_buffer_wash,260,130,0.0,0.0,0.005,0.1,2.0,0.05,20.0,0.049999999999999996,54.965631381270825,0.09704630625673367,0.10803943253298784,1765.5815792157273,566.3856101422404,2.160788650659757,1.9409261251346734,Da>1: interaction/retention dominates over residence time,139.761902316193,0.9000020236944751,0.0002564207432746195,140.66216076063074,122.32804070681847,-0.025736879518365938,Dissociation model: bulk flow component washes out fast; bound component decays by koff.
SYNTHETIC_SIMULATED_TRAINING_DATA_NOT_EXPERIMENTAL,bulk_flow_artifact_low_binding,Mostly wash-in/wash-out bulk fluorescence; weak true binding.,2,association_probe_injection,0,0,200.0,0.00019999999999999998,0.005,0.1,2.0,0.05,20.0,0.049999999999999996,16.785137328987762,0.09488592378184092,0.09824295124763847,5652.972741424873,176.89807571015152,1.9648590249527695,1.8977184756368184,Da>1: interaction/retention dominates over residence time,141.882369998045,0.0,0.0,141.882369998045,134.17891026972873,-0.011508601400165781,Association model: baseline + bulk flow wash-in + binding buildup with random noise.
SYNTHETIC_SIMULATED_TRAINING_DATA_NOT_EXPERIMENTAL,bulk_flow_artifact_low_binding,Mostly wash-in/wash-out bulk fluorescence; weak true binding.,2,association_probe_injection,10,10,200.0,0.00019999999999999998,0.005,0.1,2.0,0.05,20.0,0.049999999999999996,16.785137328987762,0.09488592378184092,0.09824295124763847,5652.972741424873,176.89807571015152,1.9648590249527695,1.8977184756368184,Da>1: interaction/retention dominates over residence time,141.882369998045,231.50486937033378,50.67179063834902,424.0590300067278,452.20575480261766,0.46360833532217155,Association model: baseline + bulk flow wash-in + binding buildup with random noise.
SYNTHETIC_SIMULATED_TRAINING_DATA_NOT_EXPERIMENTAL,bulk_flow_artifact_low_binding,Mostly wash-in/wash-out bulk fluorescence; weak true binding.,2,association_probe_injection,20,20,200.0,0.00019999999999999998,0.005,0.1,2.0,0.05,20.0,0.049999999999999996,16.785137328987762,0.09488592378184092,0.09824295124763847,5652.972741424873,176.89807571015152,1.9648590249527695,1.8977184756368184,Da>1: interaction/retention dominates over residence time,141.882369998045,371.9196705162093,69.6433284403954,583.4453689546497,575.5899644571183,0.647938459456993,Association model: baseline + bulk flow wash-in + binding buildup with random noise.
SYNTHETIC_SIMULATED_TRAINING_DATA_NOT_EXPERIMENTAL,bulk_flow_artifact_low_binding,Mostly wash-in/wash-out bulk fluorescence; weak true binding.,2,association_probe_injection,30,30,200.0,0.00019999999999999998,0.005,0.1,2.0,0.05,20.0,0.049999999999999996,16.785137328987762,0.09488592378184092,0.09824295124763847,5652.972741424873,176.89807571015152,1.9648590249527695,1.8977184756368184,Da>1: interaction/retention dominates over residence time,141.882369998045,457.0855524886354,76.74627945199994,675.7142019386804,648.4324460282747,0.7567616525373559,Association model: baseline + bulk flow wash-in + binding buildup with random noise.
SYNTHETIC_SIMULATED_TRAINING_DATA_NOT_EXPERIMENTAL,bulk_flow_artifact_low_binding,Mostly wash-in/wash-out bulk fluorescence; weak true binding.,2,association_probe_injection,40,40,200.0,0.00019999999999999998,0.005,0.1,2.0,0.05,20.0,0.049999999999999996,16.785137328987762,0.09488592378184092,0.09824295124763847,5652.972741424873,176.89807571015152,1.9648590249527695,1.8977184756368184,Da>1: interaction/retention dominates over residence time,141.882369998045,508.74127106637934,79.40562702833672,730.0292680927611,743.1281467396313,0.8982325126744541,Association model: baseline + bulk flow wash-in + binding buildup with random noise.
SYNTHETIC_SIMULATED_TRAINING_DATA_NOT_EXPERIMENTAL,bulk_flow_artifact_low_binding,Mostly wash-in/wash-out bulk fluorescence; weak true binding.,2,association_probe_injection,50,50,200.0,0.00019999999999999998,0.005,0.1,2.0,0.05,20.0,0.049999999999999996,16.785137328987762,0.09488592378184092,0.09824295124763847,5652.972741424873,176.89807571015152,1.9648590249527695,1.8977184756368184,Da>1: interaction/retention dominates over residence time,141.882369998045,540.0720481332685,80.40128777838473,762.3557059096981,771.5898567108966,0.9407529498258805,Association model: baseline + bulk flow wash-in + binding buildup with random noise.
SYNTHETIC_SIMULATED_TRAINING_DATA_NOT_EXPERIMENTAL,bulk_flow_artifact_low_binding,Mostly wash-in/wash-out bulk fluorescence; weak true binding.,2,association_probe_injection,60,60,200.0,0.00019999999999999998,0.005,0.1,2.0,0.05,20.0,0.049999999999999996,16.785137328987762,0.09488592378184092,0.09824295124763847,5652.972741424873,176.89807571015152,1.9648590249527695,1.8977184756368184,Da>1: interaction/retention dominates over residence time,141.882369998045,559.0751250169582,80.77406354414292,781.731558559146,877.8185491898727,1.0994535495716697,Association model: baseline + bulk flow wash-in + binding buildup with random noise.
SYNTHETIC_SIMULATED_TRAINING_DATA_NOT_EXPERIMENTAL,bulk_flow_artifact_low_binding,Mostly wash-in/wash-out bulk fluorescence; weak true binding.,2,association_probe_injection,70,70,200.0,0.00019999999999999998,0.005,0.1,2.0,0.05,20.0,0.049999999999999996,16.785137328987762,0.09488592378184092,0.09824295124763847,5652.972741424873,176.89807571015152,1.9648590249527695,1.8977184756368184,Da>1: interaction/retention dominates over residence time,141.882369998045,570.6010737757924,80.91363093346696,793.3970747073043,797.1241319112432,0.9788999390601785,Association model: baseline + bulk flow wash-in + binding buildup with random noise.
SYNTHETIC_SIMULATED_TRAINING_DATA_NOT_EXPERIMENTAL,bulk_flow_artifact_low_binding,Mostly wash-in/wash-out bulk fluorescence; weak true binding.,2,association_probe_injection,80,80,200.0,0.00019999999999999998,0.005,0.1,2.0,0.05,20.0,0.049999999999999996,16.785137328987762,0.09488592378184092,0.09824295124763847,5652.972741424873,176.89807571015152,1.9648590249527695,1.8977184756368184,Da>1: interaction/retention dominates over residence time,141.882369998045,577.5919150803021,80.96588501742842,800.4401700957754,850.3900949107987,1.0584767471409093,Association model: baseline + bulk flow wash-in + binding buildup with random noise.
SYNTHETIC_SIMULATED_TRAINING_DATA_NOT_EXPERIMENTAL,bulk_flow_artifact_low_binding,Mostly wash-in/wash-out bulk fluorescence; weak true binding.,2,association_probe_injection,90,90,200.0,0.00019999999999999998,0.005,0.1,2.0,0.05,20.0,0.049999999999999996,16.785137328987762,0.09488592378184092,0.09824295124763847,5652.972741424873,176.89807571015152,1.9648590249527695,1.8977184756368184,Da>1: interaction/retention dominates over residence time,141.882369998045,581.8320746686728,80.98544896645602,804.6998936331738,866.7045437349333,1.0828497555296228,Association model: baseline + bulk flow wash-in + binding buildup with random noise.
SYNTHETIC_SIMULATED_TRAINING_DATA_NOT_EXPERIMENTAL,bulk_flow_artifact_low_binding,Mostly wash-in/wash-out bulk fluorescence; weak true binding.,2,association_probe_injection,100,100,200.0,0.00019999999999999998,0.005,0.1,2.0,0.05,20.0,0.049999999999999996,16.785137328987762,0.09488592378184092,0.09824295124763847,5652.972741424873,176.89807571015152,1.9648590249527695,1.8977184756368184,Da>1: interaction/retention dominates over residence time,141.882369998045,584.403861461094,80.99277371645714,807.2790051755961,820.900329102955,1.0144204436050837,Association model: baseline + bulk flow wash-in + binding buildup with random noise.
SYNTHETIC_SIMULATED_TRAINING_DATA_NOT_EXPERIMENTAL,bulk_flow_artifact_low_binding,Mostly wash-in/wash-out bulk fluorescence; weak true binding.,2,association_probe_injection,110,110,200.0,0.00019999999999999998,0.005,0.1,2.0,0.05,20.0,0.049999999999999996,16.785137328987762,0.09488592378184092,0.09824295124763847,5652.972741424873,176.89807571015152,1.9648590249527695,1.8977184756368184,Da>1: interaction/retention dominates over residence time,141.882369998045,585.9637290009416,80.99551610566,808.8416151046466,786.8067952039997,0.9634863301282711,Association model: baseline + bulk flow wash-in + binding buildup with random noise.
SYNTHETIC_SIMULATED_TRAINING_DATA_NOT_EXPERIMENTAL,bulk_flow_artifact_low_binding,Mostly wash-in/wash-out bulk fluorescence; weak true binding.,2,association_probe_injection,120,120,200.0,0.00019999999999999998,0.005,0.1,2.0,0.05,20.0,0.049999999999999996,16.785137328987762,0.09488592378184092,0.09824295124763847,5652.972741424873,176.89807571015152,1.9648590249527695,1.8977184756368184,Da>1: interaction/retention dominates over residence time,141.882369998045,586.9098364889496,80.9965428572268,809.7887493442214,790.6067027750622,0.9691632107942505,Association model: baseline + bulk flow wash-in + binding buildup with random noise.
SYNTHETIC_SIMULATED_TRAINING_DATA_NOT_EXPERIMENTAL,bulk_flow_artifact_low_binding,Mostly wash-in/wash-out bulk fluorescence; weak true binding.,2,dissociation_buffer_wash,130,0,0.0,0.0,0.005,0.1,2.0,0.05,20.0,0.049999999999999996,16.785137328987762,0.09488592378184092,0.09824295124763847,5652.972741424873,176.89807571015152,1.9648590249527695,1.8977184756368184,Da>1: interaction/retention dominates over residence time,141.882369998045,586.9098364889496,80.9965428572268,809.7887493442214,822.1419687589445,1.0162753940283196,Dissociation model: bulk flow component washes out fast; bound component decays by koff.
SYNTHETIC_SIMULATED_TRAINING_DATA_NOT_EXPERIMENTAL,bulk_flow_artifact_low_binding,Mostly wash-in/wash-out bulk fluorescence; weak true binding.,2,dissociation_buffer_wash,140,10,0.0,0.0,0.005,0.1,2.0,0.05,20.0,0.049999999999999996,16.785137328987762,0.09488592378184092,0.09824295124763847,5652.972741424873,176.89807571015152,1.9648590249527695,1.8977184756368184,Da>1: interaction/retention dominates over residence time,141.882369998045,355.9788103174764,31.36044028764353,529.221620603165,489.93929564800277,0.5199804455585844,Dissociation model: bulk flow component washes out fast; bound component decays by koff.
SYNTHETIC_SIMULATED_TRAINING_DATA_NOT_EXPERIMENTAL,bulk_flow_artifact_low_binding,Mostly wash-in/wash-out bulk fluorescence; weak true binding.,2,dissociation_buffer_wash,150,20,0.0,0.0,0.005,0.1,2.0,0.05,20.0,0.049999999999999996,16.785137328987762,0.09488592378184092,0.09824295124763847,5652.972741424873,176.89807571015152,1.9648590249527695,1.8977184756368184,Da>1: interaction/retention dominates over residence time,141.882369998045,215.91206266557742,12.142212251804844,369.9366449154272,398.10742704972796,0.3827880140014791,Dissociation model: bulk flow component washes out fast; bound component decays by koff.
SYNTHETIC_SIMULATED_TRAINING_DATA_NOT_EXPERIMENTAL,bulk_flow_artifact_low_binding,Mostly wash-in/wash-out bulk fluorescence; weak true binding.,2,dissociation_buffer_wash,160,30,0.0,0.0,0.005,0.1,2.0,0.05,20.0,0.049999999999999996,16.785137328987762,0.09488592378184092,0.09824295124763847,5652.972741424873,176.89807571015152,1.9648590249527695,1.8977184756368184,Da>1: interaction/retention dominates over residence time,141.882369998045,130.95728580846813,4.701251545437343,277.54090735195047,297.1734325982343,0.23199744056614852,Dissociation model: bulk flow component washes out fast; bound component decays by koff.
SYNTHETIC_SIMULATED_TRAINING_DATA_NOT_EXPERIMENTAL,bulk_flow_artifact_low_binding,Mostly wash-in/wash-out bulk fluorescence; weak true binding.,2,dissociation_buffer_wash,170,40,0.0,0.0,0.005,0.1,2.0,0.05,20.0,0.049999999999999996,16.785137328987762,0.09488592378184092,0.09824295124763847,5652.972741424873,176.89807571015152,1.9648590249527695,1.8977184756368184,Da>1: interaction/retention dominates over residence time,141.882369998045,79.42960895558606,1.8202421136388682,223.13222106726994,214.0641570288926,0.10783614695046233,Dissociation model: bulk flow component washes out fast; bound component decays by koff.
